,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_005319,3076.43078,5.715615758,0.31581423,-18.09803109,3.30E-73,6.31E-69
NM_000584,1260.847615,5.40058367,0.299735894,-18.01780758,1.41E-72,1.35E-68
NM_014330,14236.23423,4.096417052,0.246005898,-16.65170262,2.94E-62,1.87E-58
NM_016095,2083.15686,-3.764802882,0.267023126,14.09916415,3.84E-45,1.84E-41
NM_003378,3805.426701,3.418330538,0.247700677,-13.80024707,2.54E-43,9.71E-40
NM_002160,276.6874248,6.379397512,0.462832328,-13.78338792,3.21E-43,1.02E-39
NM_144999,797.9599342,-3.576445203,0.274159602,13.04512107,6.77E-39,1.85E-35
NM_006945,333.8538615,4.633277935,0.382047485,-12.12749231,7.55E-34,1.81E-30
NM_003407,5200.260541,2.941810429,0.245504315,-11.98272393,4.38E-33,9.30E-30
NM_020223,418.1516284,-3.506029416,0.296000817,11.84466126,2.29E-32,4.39E-29
NM_002089,350.1916122,4.049940195,0.342567121,-11.82232604,2.99E-32,5.20E-29
NM_001318835,433.3842003,3.806047461,0.322196494,-11.81281465,3.35E-32,5.34E-29
NR_134538,557.2249826,3.235845914,0.278833712,-11.60493075,3.89E-31,5.72E-28
NM_004091,1217.813594,-3.048837182,0.263905775,11.55274903,7.15E-31,9.76E-28
NM_005225,1324.683817,-2.927369524,0.253662587,11.5404071,8.25E-31,1.05E-27
NM_153695,1016.049587,-3.166681667,0.275356156,11.50031185,1.31E-30,1.57E-27
NM_001330480,138.1666302,5.09612524,0.462851974,-11.01027008,3.41E-28,3.84E-25
NM_002090,205.7864446,4.314453261,0.393161383,-10.97374628,5.11E-28,5.43E-25
NM_001237,3660.170452,-2.571993402,0.243786793,10.5501753,5.07E-26,4.85E-23
NM_014398,738.3271576,2.803646238,0.265691976,-10.55224281,4.96E-26,4.85E-23
NR_109779,128.876675,4.791901301,0.457596043,-10.47190284,1.16E-25,1.06E-22
NM_057749,1588.855718,-3.693052292,0.35339289,10.45027332,1.46E-25,1.27E-22
NM_006082,18437.42919,-2.461018289,0.237281232,10.37173597,3.33E-25,2.77E-22
NM_024094,1898.494588,-2.834392678,0.27673063,10.24242485,1.28E-24,1.02E-21
NM_002358,2852.688101,-2.567718857,0.251220744,10.22096668,1.60E-24,1.22E-21
NM_001071,1846.266656,-2.482498037,0.244347884,10.15968707,3.00E-24,2.21E-21
