,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_001001130,57.89111761,0.323584339,0.203811403,-1.587665531,0.112361991,0.619245888
NM_001001144,6.142707683,-0.146699351,0.348634825,0.420782265,0.673914083,1
NM_001001152,12.67313296,-0.197906295,0.326537859,0.606074577,0.544465232,1
NM_001001178,61.92797862,-0.034779559,0.219068848,0.158760859,0.873857287,1
NM_001001179,774.6703319,0.284823218,0.148351219,-1.919925031,0.05486737,0.448208274
NM_001001180,24.11797811,-1.011372447,0.310483435,3.257411931,0.001124331,0.034129664
NM_001001181,1601.838424,-0.088389191,0.11641894,0.759233777,0.447712724,0.983944806
NM_001001182,599.3803151,-0.188233572,0.14951671,1.258946718,0.208049578,0.800806722
NM_001001183,295.1299783,0.148971514,0.172657001,-0.862817688,0.388237712,0.960096674
NM_001001184,267.9518605,-0.570260343,0.173448521,3.287778639,0.001009812,0.031523331
NM_001001186,34.54595531,0.607743558,0.261980056,-2.319808494,0.020351239,0.254302358
NM_001001187,91.5867207,0.029543098,0.19354894,-0.152638901,0.878683046,1
NM_001001295,3.49278688,-0.007850708,0.302954901,0.025913783,0.979326107,1
NM_001001321,1574.477118,-0.174987693,0.136024427,1.286443155,0.198288445,0.787886877
NM_001001333,29.61881882,0.374381015,0.24898377,-1.503636219,0.13267506,0.670252989
NM_001001334,1.067857844,0.287660005,0.263623036,-1.091179321,0.275193985,0.87658677
NM_001001335,0.867731906,0.061919401,0.234177266,-0.264412519,0.791462066,1
NM_001001445,12.04670347,0.981789351,0.332211594,-2.955313324,0.003123517,0.070624712
NM_001001446,4346.184611,-0.119593271,0.223786883,0.534406975,0.593059994,1
NM_001001449,0.169630286,0.002416617,0.148967141,-0.016222484,0.987056898,1
NM_001001451,0.852542387,0.005518211,0.234550833,-0.023526718,0.981230126,1
NM_001001488,800.3459237,-0.130665682,0.169081414,0.772797428,0.439642276,0.98177436
NM_001001491,948.9769417,0.094587646,0.108967363,-0.86803648,0.385374362,0.959542738
