PeakID (cmd=annotatePeaks.pl Homer_mMET.txt mm8)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak11564	chrX	38312283	38314818	+	0	NA	intron (NR_125870, intron 1 of 5)	intron (NR_125870, intron 1 of 5)	525	NR_125870	11798	Mm.259879	NM_009688	ENSMUSG00000025860	Xiap	1110015C02Rik|Aipa|Api3|Birc4|IAP3|ILP-1|MIHA	X-linked inhibitor of apoptosis	protein-coding
Peak87	chr1	39378580	39379651	+	0	NA	intron (NM_018775, intron 1 of 19)	L1MCb|LINE|L1	44178	NM_018775	54610	Mm.387293	NM_018775	ENSMUSG00000003134	Tbc1d8	AD3|HBLP1|VRP	TBC1 domain family, member 8	protein-coding
Peak1783	chr11	79527026	79531185	+	0	NA	TTS (NR_029579)	TTS (NR_029579)	941	NR_029579	387188		NR_029579	ENSMUSG00000065395	Mir193a	Mir193|Mirn193|mir-193a|mmu-mir-193|mmu-mir-193a	microRNA 193a	ncRNA
Peak5326	chr18	84225716	84226848	+	0	NA	intron (NM_146090, intron 1 of 1)	intron (NM_146090, intron 1 of 1)	3931	NM_146090	225791	Mm.147052	NM_146090	ENSMUSG00000049090	Zadh2	C530046K17Rik|Pthr3	zinc binding alcohol dehydrogenase, domain containing 2	protein-coding
Peak11396	chr9	110178457	110180796	+	0	NA	intron (NM_001001144, intron 1 of 22)	intron (NM_001001144, intron 1 of 22)	1103	NM_001001144	235623	Mm.288741	NM_001001144	ENSMUSG00000032485	Scap	9530044G19|mKIAA0199	SREBF chaperone	protein-coding
Peak10827	chr8	129383821	129384216	+	0	NA	Intergenic	Intergenic	-22863	NM_001159907	212728	Mm.482479	NM_001159907	ENSMUSG00000090290	Gm17296	Gm179|Tarbp1	predicted gene, 17296	protein-coding
Peak7365	chr4	44253627	44255976	+	0	NA	Intergenic	CpG	-12434	NR_039565	100628618		NR_039565	ENSMUSG00000092677	Mir5106	mir-5106|mmu-mir-5106|mu-mir-5106	microRNA 5106	ncRNA
Peak5223	chr18	58003152	58005081	+	0	NA	promoter-TSS (NM_009194)	promoter-TSS (NM_009194)	69	NM_009194	20496	Mm.399997	NM_009194	ENSMUSG00000024597	Slc12a2	9330166H04Rik|Nkcc1|mBSC2|sy-ns	solute carrier family 12, member 2	protein-coding
Peak2543	chr12	88088362	88089852	+	0	NA	promoter-TSS (NM_001290288)	promoter-TSS (NM_001290288)	225	NM_001033475	382620	Mm.374912	NM_001033475	ENSMUSG00000034111	Tmed8	6430595O10Rik|AI447224|Gm1184|Mem1	transmembrane emp24 domain containing 8	protein-coding
Peak11639	chrX	74835910	74836674	+	0	NA	intron (NM_001289683, intron 1 of 4)	intron (NM_001289683, intron 1 of 4)	232	NM_001164275	546336	Mm.211712	NM_027322	ENSMUSG00000047996	Prrg1	2010007L08Rik	proline rich Gla (G-carboxyglutamic acid) 1	protein-coding
Peak10634	chr8	107283994	107285449	+	0	NA	exon (NM_153582, exon 1 of 4)	exon (NM_153582, exon 1 of 4)	215	NM_153582	97487	Mm.29658	NM_153582	ENSMUSG00000096188	Cmtm4	Cklfsf4|D19397|ENSMUSG00000051554|Gm9853	CKLF-like MARVEL transmembrane domain containing 4	protein-coding
Peak2906	chr13	55609175	55610686	+	0	NA	intron (NM_146045, intron 1 of 5)	intron (NM_146045, intron 1 of 5)	412	NM_001311137	218271	Mm.139825	NM_146045	ENSMUSG00000021504	B4galt7	-	xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)	protein-coding
Peak9300	chr6	138103291	138110997	+	0	NA	intron (NM_019946, intron 1 of 3)	intron (NM_019946, intron 1 of 3)	2411	NM_019946	56615	Mm.14796	NM_019946	ENSMUSG00000008540	Mgst1	1500002K10Rik|Gst	microsomal glutathione S-transferase 1	protein-coding
Peak7766	chr4	131780431	131782838	+	0	NA	intron (NM_144907, intron 1 of 9)	intron (NM_144907, intron 1 of 9)	898	NM_144907	230784	Mm.23608	NM_144907		Sesn2	HI95|SEST2|Ses2	sestrin 2	protein-coding
Peak434	chr1	153515857	153518742	+	0	NA	promoter-TSS (NM_001039644)	promoter-TSS (NM_001039644)	-293	NM_001311165	66967	Mm.337691	NM_001039644	ENSMUSG00000043019	Edem3	2310050N11Rik	ER degradation enhancer, mannosidase alpha-like 3	protein-coding
Peak7551	chr4	106811666	106813105	+	0	NA	promoter-TSS (NM_145550)	promoter-TSS (NM_145550)	90	NM_001205156	230584	Mm.29118	NM_145550	ENSMUSG00000057375	Yipf1	C030002N13Rik	Yip1 domain family, member 1	protein-coding
Peak1694	chr11	72834827	72836179	+	0	NA	intron (NM_018883, intron 1 of 15)	CpG	300	NM_018883	55984	Mm.9998	NM_018883	ENSMUSG00000020785	Camkk1	AI846603|CaMKKalpha|Camkk	calcium/calmodulin-dependent protein kinase kinase 1, alpha	protein-coding
Peak10231	chr8	10899645	10901704	+	0	NA	intron (NR_102285, intron 2 of 2)	G-rich|Low_complexity|Low_complexity	780	NR_102285	71624	Mm.139075	NR_102285		4833411C07Rik	-	RIKEN cDNA 4833411C07 gene	ncRNA
Peak7116	chr3	121894476	121896713	+	0	NA	Intergenic	Intergenic	-49755	NM_172525	214137	Mm.229287	NM_172525	ENSMUSG00000039831	Arhgap29	6720461J18Rik|A830014I19|AU040217|B130017I01Rik|C76601|Parg1	Rho GTPase activating protein 29	protein-coding
Peak3400	chr14	59991337	59992090	+	0	NA	intron (NM_013869, intron 1 of 9)	intron (NM_013869, intron 1 of 9)	384	NM_001164155	29820	Mm.281356	NM_013869	ENSMUSG00000060548	Tnfrsf19	AL023044|AW123854|TAJ|TAJ-ALPHA|TRADE|Troy	tumor necrosis factor receptor superfamily, member 19	protein-coding
Peak5307	chr18	77916839	77918829	+	0	NA	promoter-TSS (NR_027978)	promoter-TSS (NR_027978)	252	NM_178670	212163	Mm.23293	NM_178670	ENSMUSG00000047466	8030462N17Rik	Akd2|Ark2N	RIKEN cDNA 8030462N17 gene	protein-coding
Peak11041	chr9	50498122	50499060	+	0	NA	intron (NM_025865, intron 1 of 3)	intron (NM_025865, intron 1 of 3)	160	NM_025865	66952	Mm.273375	NM_025865	ENSMUSG00000032062	2310030G06Rik	2610024D04Rik|AV017521	RIKEN cDNA 2310030G06 gene	protein-coding
Peak11776	chrX	157986655	157988005	+	0	NA	intron (NM_001290633, intron 1 of 17)	intron (NM_001290633, intron 1 of 17)	433	NM_001290633	194590	Mm.442441	NM_178256	ENSMUSG00000040855	Reps2	POB1	RALBP1 associated Eps domain containing protein 2	protein-coding
Peak4203	chr16	26283748	26287233	+	0	NA	intron (NM_016674, intron 1 of 3)	intron (NM_016674, intron 1 of 3)	1698	NM_016674	12737	Mm.289441	NM_016674	ENSMUSG00000022512	Cldn1	AI596271	claudin 1	protein-coding
Peak4719	chr17	33640982	33643884	+	0	NA	promoter-TSS (NM_008202)	promoter-TSS (NM_008202)	167	NM_001205214	20182	Mm.1243	NM_011306	ENSMUSG00000039656	Rxrb	AL023085|H-2RIIBP|Nr2b2|RCoR-1|Rub	retinoid X receptor beta	protein-coding
Peak3833	chr15	81698569	81700750	+	0	NA	promoter-TSS (NM_026737)	promoter-TSS (NM_026737)	-59	NM_080633	11429	Mm.154581	NM_080633	ENSMUSG00000022477	Aco2	Aco-2|Aco3|D10Wsu183e	aconitase 2, mitochondrial	protein-coding
Peak5729	chr19	55696421	55697294	+	0	NA	intron (NR_045318, intron 2 of 3)	intron (NR_045318, intron 2 of 3)	58597	NR_045318	77594	Mm.329924	NR_045318	ENSMUSG00000097632	4930552P12Rik	-	RIKEN cDNA 4930552P12 gene	ncRNA
Peak1803	chr11	82685801	82687450	+	0	NA	intron (NM_001164569, intron 1 of 7)	intron (NM_001164569, intron 1 of 7)	314	NM_001164570	67338	Mm.341608	NM_026097	ENSMUSG00000020696	Rffl	1700051E09Rik|4930516L10Rik|BG080975|Carp2	ring finger and FYVE like domain containing protein	protein-coding
Peak1766	chr11	78117467	78118287	+	0	NA	promoter-TSS (NM_017407)	promoter-TSS (NM_017407)	91	NM_017407	54141	Mm.24250	NM_017407	ENSMUSG00000002055	Spag5	AI874642|D11Bhm180e|Deepest|MAP126|Mastrin|S17	sperm associated antigen 5	protein-coding
Peak612	chr1	187029166	187030427	+	0	NA	intron (NM_198653, intron 1 of 22)	CpG	393	NM_198653	381314	Mm.275841	NM_198653	ENSMUSG00000026618	Iars2	2010002H18Rik|C79125	isoleucine-tRNA synthetase 2, mitochondrial	protein-coding
Peak7161	chr3	133480469	133482642	+	0	NA	5' UTR (NM_001040400, exon 1 of 11)	5' UTR (NM_001040400, exon 1 of 11)	141	NM_001040400	214133	Mm.347816	NM_145989	ENSMUSG00000040943	Tet2	Ayu17-449|E130014J05Rik|mKIAA1546	tet methylcytosine dioxygenase 2	protein-coding
Peak1440	chr11	48680573	48682167	+	0	NA	intron (NM_053166, intron 1 of 6)	CpG	11809	NM_053166	94089	Mm.390335	NM_053166		Trim7	AI790312	tripartite motif-containing 7	protein-coding
Peak2650	chr12	112577761	112579505	+	0	NA	promoter-TSS (NR_029590)	promoter-TSS (NR_029590)	-55	NR_029590	387199		NR_029590	ENSMUSG00000065574	Mir203	Mirn203|mir-203|mmu-mir-203	microRNA 203	ncRNA
