PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1	chr1	712818	715858	+	0	NA	promoter-TSS (NR_033908)	promoter-TSS (NR_033908)	-270	NR_033908	100288069	Hs.527521	NR_033908	ENSG00000228327	LOC100288069	-	uncharacterized LOC100288069	ncRNA
2	chr1	761237	764157	+	0	NA	promoter-TSS (NR_047526)	promoter-TSS (NR_047526)	205	NR_024321	79854	Hs.351445	NM_024796	ENSG00000225880	LINC00115	NCRNA00115	long intergenic non-protein coding RNA 115	ncRNA
3	chr1	839200	840645	+	0	NA	Intergenic	CpG	15150	NR_026874	100130417	Hs.200644	NM_175912	ENSG00000223764	LOC100130417	-	uncharacterized LOC100130417	ncRNA
4	chr1	858923	861451	+	0	NA	promoter-TSS (NM_152486)	promoter-TSS (NM_152486)	-934	NM_152486	148398	Hs.335293	NM_152486	ENSG00000187634	SAMD11	-	sterile alpha motif domain containing 11	protein-coding
5	chr1	875416	878443	+	0	NA	intron (NM_152486, intron 8 of 13)	CpG-18	15808	NM_152486	148398	Hs.335293	NM_152486	ENSG00000187634	SAMD11	-	sterile alpha motif domain containing 11	protein-coding
6	chr1	893212	897386	+	0	NA	promoter-TSS (NM_198317)	promoter-TSS (NM_198317)	-620	NM_015658	26155	Hs.405987	NM_015658	ENSG00000188976	NOC2L	NET15|NET7|NIR|PPP1R112	NOC2-like nucleolar associated transcriptional repressor	protein-coding
7	chr1	901169	903127	+	0	NA	exon (NM_001160184, exon 2 of 15)	exon (NM_001160184, exon 2 of 15)	271	NM_032129	84069	Hs.528691	NM_032129	ENSG00000187583	PLEKHN1	-	pleckstrin homology domain containing, family N member 1	protein-coding
8	chr1	910962	912065	+	0	NA	3' UTR (NM_001291366, exon 4 of 4)	3' UTR (NM_001291366, exon 4 of 4)	5984	NM_001291366	84808	Hs.271462	NM_032722	ENSG00000187642	PERM1	C1orf170	PPARGC1 and ESRR induced regulator, muscle 1	protein-coding
9	chr1	933321	937750	+	0	NA	promoter-TSS (NM_001142467)	promoter-TSS (NM_001142467)	17	NM_001142467	57801	Hs.154029	NM_021170	ENSG00000188290	HES4	bHLHb42	hes family bHLH transcription factor 4	protein-coding
10	chr1	948140	950463	+	0	NA	intron (NM_005101, intron 1 of 1)	intron (NM_005101, intron 1 of 1)	454	NM_005101	9636	Hs.458485	NM_005101	ENSG00000187608	ISG15	G1P2|IFI15|IMD38|IP17|UCRP|hUCRP	ISG15 ubiquitin-like modifier	protein-coding
